Clubname
"A Cappella Club, UW (UWACC)"
Afghan Students Association of Waterloo
"African Students Association, UW"
Agape Impact
Ahmadiyya Muslim Students' Association (AMSA)
AIESEC
American Society of Microbiology (ASM) Chapter
Animal Rights Society
AniMusic Orchestra and Affilated Ensembles
Association of Caribbean Students
Association of Latin American Students (ALAS)
Assyrian Chaldean Syriac Student Union
Athletes in Action
"Because I am a girl, UW"
Believe 4 Kids
"Best Buddies, UW"
Biomedical Science Student Association
"Black Association for Student Expression, (UWBASE)"
"Breakers, UW"
Breaking Barriers: Cross-Cultural Mental Health
"Buddha's Light Community Club, UW"
"Cabaret, UW"
"Campus Conservatives, UW"
Campus Crusade for Cheese
Canadian Coalition for Global Health Research (UW CCGHR)
Canadian Liver Foundation ‰ÛÒ Waterloo Chapter
"Canadian Society for Epidemiology and Biostatistics, UW (CSEB-UW)"
"Cantonese Chinese Christian Fellowship, UW (UWcCCF)"
"Cantonese Multimedia Production, UW"
"Charity Knitting Circle, UW"
Chess Club
"Chinese Christian Fellowship, UW"
"Chinese Classical Dance Club, UW"
"Chinese Debating Club, UW"
Chinese Drama Club
"Chinese Students Association, UW"
Christian Orthodox Student Association
Christians on Campus
Club That Really Likes Anime (CTRL-A)
Coffee Lovers Club
Coffee N' Code
"Concert Band Club, UW"
Contact Lens Interest Club (CLIC)
"Cooking Club, UW"
Crafts 4 Charity
Creative Writing Club
"Cuban Salsa Club, UW"
"Culture and Language Exchange Club, UW"
"Daebak, UW"
"Data Science Club, UW"
"DDR Club, UW"
"Debate Society, UW (Debating Association) "
"DECA, UW"
Deception Board Games Club
"Dimensions Publications and Productions, UW"
"DJ Club, UW"
"Drag Club, UW"
Effective Altruism Club
EnactusUW
"Energy Network, UW"
Engineers in Medicine
Engineers Without Borders
enTECH Computer Club
"Entrepreneurship Society, (EntSoc) UW"
"ESports, UW"
"Euchre Club, UW"
"Fantasy Sports Club, University of Waterloo (UWFSC)"
Fashion for Change
Fighting Game Club (UWFGC)
"Filipino Student Association, UW"
"Films, UW"
"Finance Association, UW"
First Institute of Canadian  Inventors (FICI)
Foundation for International Medical Relief of Children (FIMRC) UW Chapter
Frontier College Kitchener-Waterloo
Game Development Club
"Gamers Club, UW"
General Equality Club (GEC/GenEq)
Geriatric Pharmacy Club
"Global Affairs Association, UW"
"Global Brigades, UW - Business"
"Global Brigades, UW - Medical"
Global China Connection
Greek Council
Habitat for Humanity University of Waterloo Campus Chapter
Hackerloo
Heart 4 Heart
Hearthstone Club
Henna Club
Hillel Waterloo
"Hip Hop Club, UW"
Hong Kong Students‰Ûª Association
HOSA UWaterloo
Humans vs. Zombies Society
"Hype Club, UW"
"Improv Club, UW"
"Indian Connection, UW"
"Indian Cultural Association, UW"
Indonesian Students Association
International Justice Mission
Iranian Students Association of Waterloo
Islamic Information Center of the University Waterloo
Karol Wojtyla 
Karol Wojtyla Club
Konnichiwa Japan
Korean Christian Fellowship
"Korean Students‰Ûª Association, UW"
KW Channel One
"Legends of Three Kingdoms Club, UW"
Low Vision Interest Group
Mambo Club
"Management Consulting Club, UW"
Mandarin Chinese Christian Fellowship
Mechanical Contractors Association (MCA) - Student Chapter
Meditation Explorers
"Metal KLVB, UW"
"Model United Nations, UW"
MoMoSa
Muslim Students‰Ûª Association
"Nail Salon, UW"
Official UW League of Legends Club
Origami For Children
Orthodox Christian Fellowship
OSU! 
"Paediatric Pharmacy Advocacy Group, UW"
Pakathon Waterloo
Pakistani Students‰Ûª Association (PSA)
"Parks Canada Club, UW"
"Party Games Club, UW"
"Pet Lovers Club, UW"
"Photography Club, UW"
"Poker Studies Club, UW"
Polish Society of UW
"Poppers, UW"
Power to Change
Pre-Dental Club (UW)
"Pre-Med Club, UW"
"Pre-Optometry Club, UW"
"Pre-Pharmacy, UW"
"Pre-Rehabilitation Science, UW"
"Pre-Vet Club, UW"
Product Vision 
Project: Trashion
"Quiz Bowl, UW"
Rare Disease Review
reboot
"Rotaract Club, UW"
Rubik‰Ûªs Cube Club
Sahaja Yoga Meditation
Seeds of Waterloo
"Shopping Club, UW"
Sikh Students Association
Singaporean & Malaysian Students‰Ûª Association (SMA)
