,Prof Name,Number of People,Rating Number
0,Brianna Wiens,82 ratings,46%
1,Timothy Paci,5 ratings,87%
2,Shannon Hartling,0 ratings,-
3,Nicholas Balaisis,10 ratings,77%
4,Elijah A L. Zimmerman,6 ratings,100%
5,Jo Harvie,7 ratings,89%
6,Bert Ballard,6 ratings,21%
7,Sorouja Moll,0 ratings,-
8,Karen Lazar,7 ratings,62%
